			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ua	1784	49558	10.810899	0	0	0	1687	40923	10.619448	97	8635	9.063579
rv	841	7664	8.944289	0	0	0	841	7664	8.944289	0	0	0
ud	892	9221	9.129239	40	352	5.863631	841	8356	9.030735	11	513	6.240276
ue	705	46156	10.739782	2	94	4.543295	580	32715	10.395589	123	13347	9.499047
iu	1410	37687	10.53707	4	42	3.73767	1403	37637	10.535743	3	8	2.079442
bl	373	8101	8.999743	116	1158	7.05445	257	6943	8.845489	0	0	0
lu	1744	23061	10.045898	394	11025	9.307921	1337	11757	9.372204	13	279	5.631212
bn	9	22	3.091042	0	0	0	9	22	3.091042	0	0	0
ga	3100	27057	10.205701	620	4618	8.437717	2112	17208	9.75313	368	5231	8.562358
iz	2371	22140	10.005141	1	2	0.693147	2364	22081	10.002473	6	57	4.043051
ge	2557	25432	10.143764	558	8939	9.098179	1842	13532	9.512813	157	2961	7.993282
ii	86	363	5.894403	0	0	0	13	77	4.343805	73	286	5.655992
ms	12	109	4.691348	0	0	0	10	84	4.430817	2	25	3.218876
up	855	8440	9.040738	2	6	1.791759	852	8430	9.039552	1	4	1.386294
pt	64	164	5.099866	0	0	0	64	164	5.099866	0	0	0
bs	14	24	3.178054	0	0	0	13	23	3.135494	1	1	0
th	48	294	5.68358	11	120	4.787492	34	142	4.955827	3	32	3.465736
um	998	9912	9.201501	106	1475	7.296413	786	7777	8.958926	106	660	6.49224
sm	1061	5555	8.622454	290	1237	7.120444	771	4318	8.370548	0	0	0
ap	2672	30979	10.341065	864	10873	9.294038	1803	20098	9.908376	5	8	2.079442
pu	1059	19988	9.902887	497	13830	9.534595	561	6157	8.725345	1	1	0
lc	500	10394	9.248984	0	0	0	500	10394	9.248984	0	0	0
dd	448	4043	8.304742	0	0	0	448	4043	8.304742	0	0	0
he	2091	104432	11.556291	12	56	4.025352	1113	13457	9.507255	966	90919	11.417724
dr	770	9410	9.149528	123	1120	7.021084	647	8290	9.022805	0	0	0
pp	2055	24846	10.120452	0	0	0	2055	24846	10.120452	0	0	0
pi	4042	62940	11.049937	1161	33910	10.431465	2704	25391	10.14215	177	3639	8.199464
ld	428	2821	7.944847	0	0	0	424	2800	7.937375	4	21	3.044522
mp	2913	41901	10.643065	0	0	0	2911	41897	10.64297	2	4	1.386294
pa	5184	70957	11.169829	2208	45016	10.714773	2821	22393	10.016504	155	3548	8.174139
po	4259	90218	11.409984	1381	42994	10.668816	2671	29490	10.291807	207	17734	9.783239
'c	9	12	2.484907	0	0	0	9	12	2.484907	0	0	0
ns	2066	25427	10.143567	0	0	0	2056	25395	10.142308	10	32	3.465736
ib	1471	14410	9.575678	21	62	4.127134	1450	14348	9.571366	0	0	0
af	1499	10846	9.291552	646	5695	8.647344	849	5129	8.542666	4	22	3.091042
ao	133	1907	7.553287	4	39	3.663562	93	1692	7.433667	36	176	5.170484
od	1293	13782	9.531119	99	579	6.361302	1192	13201	9.488048	2	2	0.693147
ng	2146	17944	9.795011	0	0	0	2121	17797	9.786785	25	147	4.990433
go	1966	20471	9.926765	353	4087	8.315566	1201	10926	9.298901	412	5458	8.604838
fo	2101	26854	10.19817	856	17526	9.771441	1141	8423	9.038721	104	905	6.807935
ug	771	6453	8.7723	25	376	5.929589	746	6077	8.712266	0	0	0
gh	706	4885	8.493925	100	454	6.118097	606	4431	8.396381	0	0	0
cl	709	6561	8.788898	209	2934	7.984122	500	3627	8.196161	0	0	0
lg	412	2439	7.799343	0	0	0	412	2439	7.799343	0	0	0
ls	254	1757	7.471363	0	0	0	254	1757	7.471363	0	0	0
lt	1665	46185	10.74041	3	3	1.098612	1652	46098	10.738525	10	84	4.430817
mu	980	10021	9.212438	475	4240	8.352319	504	5780	8.662159	1	1	0
un	1935	124610	11.732944	272	92222	11.431954	1633	31534	10.358822	30	854	6.749931
nc	3263	51208	10.843651	0	0	0	3263	51208	10.843651	0	0	0
op	2021	33703	10.425342	230	4461	8.403128	1781	29184	10.281376	10	58	4.060443
rp	450	3628	8.196437	0	0	0	450	3628	8.196437	0	0	0
ov	1914	37167	10.523177	61	845	6.739337	1845	36234	10.497753	8	88	4.477337
cr	1906	18517	9.826445	715	9576	9.167015	1191	8941	9.098403	0	0	0
cu	1575	26751	10.194327	428	10568	9.265586	1143	16179	9.691469	4	4	1.386294
uc	1184	10981	9.303922	69	1304	7.173192	1115	9677	9.177507	0	0	0
ef	643	7276	8.892337	80	1808	7.499977	562	5452	8.603738	1	16	2.772589
eo	792	5684	8.64541	5	13	2.564949	547	3243	8.084254	240	2428	7.794823
fe	1900	24446	10.104222	577	8694	9.070388	1293	15451	9.645429	30	301	5.70711
ip	1621	12924	9.466841	153	873	6.771936	1453	11941	9.387733	15	110	4.70048
pe	4856	113119	11.636196	1733	74312	11.216028	2986	36731	10.511376	137	2076	7.638198
ea	887	12838	9.460165	0	0	0	639	9045	9.109967	248	3793	8.240913
cm	1	3	1.098612	0	0	0	1	3	1.098612	0	0	0
cn	63	1247	7.128496	1	1	0	62	1246	7.127694	0	0	0
cq	181	2421	7.791936	0	0	0	181	2421	7.791936	0	0	0
qu	1623	72486	11.191149	532	59294	10.990263	1091	13192	9.487366	0	0	0
if	1677	15052	9.619266	1	1	0	1676	15051	9.6192	0	0	0
ob	662	7955	8.981556	137	1240	7.122867	521	6700	8.809863	4	15	2.70805
ct	53	176	5.170484	0	0	0	48	153	5.030438	5	23	3.135494
lb	185	1826	7.509883	0	0	0	185	1826	7.509883	0	0	0
