		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ce	2	1770	28210.000000	10.247432	13	1016.000000	6.923629	286	1898.000000	7.548556	874	9934.000000	9.203718	597	15362.000000	9.639652	3069	44066.000000	10.693444	690	9891.000000	9.199381	
da	2	2515	60153.000000	11.004647	13	22900.000000	10.038892	190	9631.000000	9.172742	1638	16644.000000	9.719805	674	10978.000000	9.303649	3578	83912.000000	11.337524	467	51011.000000	10.839797	
rjo	3	675	9832.000000	9.193398	0	0.000000	0.000000	1	1.000000	0.000000	156	2088.000000	7.643962	518	7743.000000	8.954544	747	13440.000000	9.505991	2	2.000000	0.693147	
bel	3	125	1018.000000	6.925595	0	0.000000	0.000000	73	787.000000	6.668228	48	169.000000	5.129899	4	62.000000	4.127134	150	1071.000000	6.976348	88	814.000000	6.701960	
lja	3	368	7894.000000	8.973858	0	0.000000	0.000000	3	12.000000	2.484907	282	4236.000000	8.351375	83	3646.000000	8.201386	440	9421.000000	9.150697	3	12.000000	2.484907	
lir	3	31	49.000000	3.891820	0	0.000000	0.000000	0	0.000000	0.000000	30	48.000000	3.871201	1	1.000000	0.000000	129	2042.000000	7.621685	15	1311.000000	7.178545	
liS	3	33	159.000000	5.068904	0	0.000000	0.000000	14	76.000000	4.330733	19	83.000000	4.418841	0	0.000000	0.000000	33	159.000000	5.068904	14	76.000000	4.330733	
Se	2	426	5646.000000	8.638703	0	0.000000	0.000000	60	777.000000	6.655440	129	1306.000000	7.174724	237	3563.000000	8.178358	659	9065.000000	9.112176	175	3707.000000	8.217978	
ve	2	1893	49813.000000	10.816031	9	112.000000	4.718499	473	11359.000000	9.337766	981	27405.000000	10.218481	430	10937.000000	9.299907	3906	73254.000000	11.201688	1084	19074.000000	9.856081	
rar	3	330	961.000000	6.867974	0	0.000000	0.000000	0	0.000000	0.000000	325	927.000000	6.831954	5	34.000000	3.526361	994	8085.000000	8.997766	16	272.000000	5.605802	
ras	3	232	833.000000	6.725034	0	0.000000	0.000000	103	503.000000	6.220590	117	284.000000	5.648974	12	46.000000	3.828641	890	5956.000000	8.692154	133	609.000000	6.411818	
jo	2	180	2566.000000	7.850104	0	0.000000	0.000000	8	19.000000	2.944439	40	279.000000	5.631212	132	2268.000000	7.726654	5919	97438.000000	11.486972	9	23.000000	3.135494	
bja	3	241	7518.000000	8.925055	0	0.000000	0.000000	31	114.000000	4.736198	157	5452.000000	8.603738	53	1952.000000	7.576610	381	9263.000000	9.133783	93	1636.000000	7.400010	
bjam	4	2	10.000000	2.302585	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	1	9.000000	2.197225	21	3710.000000	8.218787	0	0.000000	0.000000	
Gras	4	38	259.000000	5.556828	2	10.000000	2.302585	18	205.000000	5.323010	18	44.000000	3.784190	0	0.000000	0.000000	40	261.000000	5.564520	20	215.000000	5.370638	
bjEn	4	13	627.000000	6.440947	0	0.000000	0.000000	0	0.000000	0.000000	13	627.000000	6.440947	0	0.000000	0.000000	13	627.000000	6.440947	0	0.000000	0.000000	
