			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
am	5885	67015.000000	11.112672	834	11855.000000	9.380505	4999	54770.000000	10.910898	52	390.000000	5.966147	537	4782.000000	8.472614	7	38.000000	3.637586	1777	19334.000000	9.869620	4100	47617.000000	10.770945	
me	5433	96839.000000	11.480805	946	20624.000000	9.934211	4191	53543.000000	10.888240	296	22672.000000	10.028886	5311	95937.000000	11.471447	107	860.000000	6.756932	1585	41327.000000	10.629271	0	0.000000	0.000000	
en	8818	112363.000000	11.629490	232	4155.000000	8.332068	8565	107994.000000	11.589831	21	214.000000	5.365976	231	3879.000000	8.263333	10	49.000000	3.891820	6526	83409.000000	11.331511	2275	28845.000000	10.269692	
mm	1699	16023.000000	9.681780	0	0.000000	0.000000	1699	16023.000000	9.681780	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1699	16023.000000	9.681780	
vo	2395	34702.000000	10.454553	381	8762.000000	9.078179	1075	13383.000000	9.501741	939	12557.000000	9.438034	2359	34527.000000	10.449497	24	157.000000	5.056246	2081	32062.000000	10.375427	0	0.000000	0.000000	
nn	2266	42840.000000	10.665228	0	0.000000	0.000000	2266	42840.000000	10.665228	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2266	42840.000000	10.665228	
sj	1056	18481.000000	9.824498	42	2492.000000	7.820841	1014	15989.000000	9.679656	0	0.000000	0.000000	1053	18476.000000	9.824228	3	5.000000	1.609438	0	0.000000	0.000000	0	0.000000	0.000000	
so	4487	103378.000000	11.546147	1974	48666.000000	10.792736	1244	14313.000000	9.568923	1269	40399.000000	10.606560	4482	103370.000000	11.546070	1	1.000000	0.000000	2726	82496.000000	11.320505	2	2.000000	0.693147	
sO	445	11634.000000	9.361687	152	9297.000000	9.137447	260	2090.000000	7.644919	33	247.000000	5.509388	444	11633.000000	9.361601	0	0.000000	0.000000	251	9001.000000	9.105091	1	1.000000	0.000000	
st	10221	161171.000000	11.990221	1921	49172.000000	10.803080	8254	111079.000000	11.617997	46	920.000000	6.824374	2100	50286.000000	10.825482	0	0.000000	0.000000	76	975.000000	6.882437	8045	109910.000000	11.607417	
nz	1592	32009.000000	10.373772	0	0.000000	0.000000	1590	32005.000000	10.373647	2	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	1590	32005.000000	10.373647	
za	1890	29285.000000	10.284831	23	71.000000	4.262680	1024	4229.000000	8.349721	843	24985.000000	10.126031	1890	29285.000000	10.284831	0	0.000000	0.000000	1647	28588.000000	10.260742	0	0.000000	0.000000	
